index,Cl,Cm
0,0.206543308380435,-0.0466878166328894
1,0.21077566643669,-0.0469159789528848
2,0.196982527568817,-0.0465848466038359
3,0.190920718329655,-0.0465562128662901
4,0.209127242027552,-0.0464545767137481
5,0.221240897817285,-0.0500594303996115
6,0.224489626549163,-0.0468552755042269
7,0.215669105859148,-0.0481441175148897
8,0.186860120132525,-0.0458710596518749
9,0.192649686943043,-0.0460630093977898
10,0.199391132283498,-0.0472083358074949
11,0.208529297467543,-0.0453790007111292
12,0.205121170271371,-0.0461655238466841
13,0.209808611024815,-0.0467082006781589
14,0.217111853619497,-0.047230787223672
15,0.218849445266024,-0.0481629737438508
16,0.208985493014577,-0.0480395897375294
17,0.217337740309684,-0.048542829022952
18,0.2153127702222,-0.0480397005019918
19,0.214579601884257,-0.0466573571044436
20,0.202805771200258,-0.0468698101927914
21,0.19809048216908,-0.0477615058319227
22,0.208474742622253,-0.0483214891220125
23,0.191648690640582,-0.0474251048846745
24,0.213872330805582,-0.0462645262002897
25,0.219313768779923,-0.0473967702970748
26,0.186303432323804,-0.0469721938370483
27,0.213614239368105,-0.0473967165894365
28,0.211192447481261,-0.0472902876793334
29,0.216249785043358,-0.0479176877116197
30,0.200412757161657,-0.0465667157435017
31,0.22195241498363,-0.0481203015889051
32,0.233788359294644,-0.049074047121149
33,0.206441693541691,-0.0481499180204242
34,0.223803816930397,-0.0490708081946364
35,0.188044306910054,-0.0478153387231275
36,0.206803014201912,-0.046847477213429
37,0.19714955570326,-0.0469882236132886
38,0.184938192451705,-0.046250784693975
39,0.214042952713664,-0.0482154486678535
40,0.187705033911877,-0.0463293532487292
41,0.246990118390933,-0.048183598448444
42,0.216527285349742,-0.0481108518188685
43,0.214450107813697,-0.0477984444627848
44,0.199093967667736,-0.0475924146889104
45,0.208876374429011,-0.0459941505866046
46,0.240222318938321,-0.0478025450839412
47,0.201995945952861,-0.0460018702012231
48,0.241189804329039,-0.0484217703331768
49,0.19970435243828,-0.04610393043755
50,0.194117234970323,-0.0451874257174208
51,0.227609765112581,-0.0482370424875881
52,0.228090484618421,-0.048600791554305
53,0.18965102700545,-0.0466000041057206
54,0.198992897932457,-0.0475309999910105
55,0.195191305518804,-0.0469913915644914
56,0.211700239779198,-0.0467623512781559
57,0.205709209832046,-0.0473319409344885
58,0.207336618158645,-0.0462048743121592
59,0.211275586164793,-0.0467387554860493
60,0.213053154385528,-0.0465808115507285
61,0.205622264819669,-0.0480778086206294
62,0.231508579746458,-0.0482103210720767
63,0.203441442889605,-0.0473572895832674
64,0.200016024239503,-0.0474755901605066
65,0.201202369899248,-0.0472592988658579
66,0.198800013043335,-0.0477464213009185
67,0.204326966405837,-0.0476088606593212
68,0.227364567683364,-0.0475252723735766
69,0.210188971750799,-0.0475304916135761
70,0.214975201508541,-0.047718379860288
71,0.21500680164718,-0.0478755825874487
72,0.221878359656862,-0.0466857030792314
73,0.228030194796653,-0.0482506134306729
74,0.20399827564745,-0.0463393083348856
75,0.227682070511825,-0.0488639925713378
76,0.198090111109543,-0.0470812171116242
77,0.183588796474207,-0.0453211983890899
78,0.189181682712502,-0.047000946212393
79,0.208905228093213,-0.0470131423401995
80,0.20858319503988,-0.0473746949012835
81,0.194040085493614,-0.0459804449381579
82,0.198504184465214,-0.0469127288723921
83,0.214401216663744,-0.0478006186099342
84,0.210212688061266,-0.0457098530958046
85,0.193123160886083,-0.0466131860461842
86,0.214433189248897,-0.0463678574097031
87,0.20619079149232,-0.0461831168889756
88,0.199402665256794,-0.0475070865298434
89,0.178098142839142,-0.0477349168272323
90,0.205890338282835,-0.0467490046737628
91,0.215709825858345,-0.0470314718172891
92,0.214917101931258,-0.0476325347753086
93,0.202447446932851,-0.0467774619324478
94,0.207871335674169,-0.0459303623796887
95,0.230347998792676,-0.0460974760682065
